Song Length,Song Name,Artists,Artist Count
270344,Parallel,"['Metrik', 'Grafix']",2
252013,Freedom - Sub Focus x Wilkinson x High Contrast Remix,"['Sub Focus', 'Wilkinson', 'Empara Mi', 'High Contrast']",4
189176,Reaction,"['GOLDHOUSE', 'Mokita']",2
269298,Discotheque,['Culture Shock'],1
286896,Alchemy,['Blanke'],1
297957,Dangerous,['Futurebound'],1
228645,Falling Down,"['Friction', 'Poppy Baskcomb']",2
189200,Walk Away,"['Duke & Jones', 'Nicole Millar']",2
254364,Come Back To Me,['Maduk'],1
295172,Fading Wind,['Feint'],1
220689,Keep Dancing,"['Wilkinson', 'Amber Van Day']",2
280603,Sidestep,['Kyrist'],1
202068,Visions,['Culture Shock'],1
275862,Bring Me The Light,"['T & Sugah', 'Mara Necia']",2
275862,Run Tings,['Drumsound & Bassline Smith'],1
227657,Alchemy - ShockOne Remix,"['Blanke', 'ShockOne']",2
198620,Feel Alive,"['Slippy', 'SOUNDR']",2
315172,Sunchaser,['Aktive'],1
209395,Without You Near,"['DNMO', 'The Arcturians']",2
331733,Ray Of Sun - Sub Focus & Wilkinson,"['Sub Focus', 'Wilkinson', 'PAWWS']",3
290344,Freefall,"['Dexcell', 'LaMeduza']",2
184871,Chicane - Kumarion Remix,"['QUIX', 'Juelz', 'Kumarion']",3
271542,No Tomorrow,"['Camo & Krooked', 'Mefjus', 'Sophie Lindinger']",3
253793,Turn Back Time - Wilkinson Remix,"['Diplo', 'Sonny Fodera', 'Wilkinson']",3
209515,Driver,['Pendulum'],1
173110,Wonder,['JLV'],1
265371,Follow Me - Blanke Remix,"['ShockOne', 'Blanke']",2
259306,The Sound,['Harriet Jaxxon'],1
272840,Rock It (Wilkinson Remix),"['Sub Focus', 'Wilkinson']",2
308940,Behind The Glass,"['Keeno', 'Kate Wild']",2
230961,Instinct,['Kumarion'],1
218470,Scared,['Stonebank'],1
243000,Frontline,['Wilkinson'],1
196655,Met Her At A Dance In Leicester (feat. UK Apache),"['High Contrast', 'Uk Apache', 'Ady Suleiman']",3
248372,All Night,['Bensley'],1
248275,Alive (feat. Poppy Baskcomb),"['Dimension', 'Poppy Baskcomb']",2
260344,Good Enough,['Koven'],1
267906,Mixed Emotions,"['Netsky', 'Montell2099']",2
323657,Changing Form,"['Carbin', 'Emily Makis']",2
218720,Lost In Motion,['Duke & Jones'],1
209655,Mac 19,['Rusko'],1
281379,Overdrive,"['Metrik', 'Grafix']",2
194882,Never Let Me Go,"['IAMSAM', 'Lucian']",2
190344,Devotion (ft. Cameron Hayes),"['Dimension', 'Cameron Hayes']",2
253792,Don't Ever - Kanine Remix,"['Hybrid Minds', 'DRS', 'Kanine']",3
226206,Hold On,"['Subsonic', 'Ruth Royall']",2
237241,Light Up,['Koven'],1
203660,Moving Forward,"['Levela', 'A Little Sound']",2
194775,We Never Slow Down (feat. Eva Lazarus),"['DC Breaks', 'Eva Lazarus']",2
269504,Hardwired,"['ShockOne', 'Reija Lee']",2
200013,BARRICADE,['REAPER'],1
223448,Offender,['Dimension'],1
251030,Let It Slide,"['Kasra', 'Slay']",2
218057,Anarchy,"['Delta Heavy', 'Everyone You Know']",2
353103,There for You - LSB Remix,"['Culture Shock', 'LSB']",2
247586,Reason,"['The Prototypes', 'LOWES']",2
204827,Miracle - REAPER Remix,"['Nitepunk', 'REAPER']",2
208446,High On You - Sigma VIP,"['Sigma', 'John Newman']",2
360000,Games,['Mat Zo'],1
270344,Got to see her VIP - VIP,['Phibes'],1
255839,Afterlife,['NCT'],1
285833,Together Again (I Pray),['Urbandawn'],1
342892,Lightspeed,['Shapeshifter'],1
241379,Lost,['Culture Shock'],1
230984,Follow Me,['ShockOne'],1
301070,Dawnbreaker,['Metrik'],1
233095,One Day At A Time,"['Nu:Tone', 'Lalin St. Juste']",2
192068,Open Up,"['Dux n Bass', 'Nikisha Reyes']",2
209651,Payback,['Eptic'],1
180699,All Eyes On Me,['Fox Stevenson'],1
145139,Rastafari (feat. Ras Haile Malekot),"['SHY FX', 'Breakage', 'Ras Haile Malekot']",3
230564,Borderline,"['Millbrook', 'Patch Edison']",2
206511,Burner,['Rohaan'],1
328574,Halo Vip,['DC Breaks'],1
200689,Remedy (feat. TS Graye),"['Dimension', 'TS Graye']",2
232686,There and Back,['Protostar'],1
402326,Red Sun,"['Peshay', 'Steppa']",2
202909,Pure Action,['Kumarion'],1
224680,Fallaway,"['RL Grime', 'Baauer']",2
181724,Good to Me,['Friction'],1
166896,IMY,"['REAPER', 'Bella Renee']",2
202774,Love To Give (with Culture Shock & Billy Lockett),"['Dimension', 'Culture Shock', 'Billy Lockett']",3
180790,Therapy,"['DJ Zinc', 'Charlotte Haining']",2
213297,Better Off Without You (High Contrast Remix feat. Shift K3Y),"['Becky Hill', 'Shift K3Y', 'High Contrast']",3
279169,Fall Beneath You,"['Keeno', 'Etherwood']",2
274285,Set It Off,"['Camo & Krooked', 'Jeru The Damaja']",2
193103,The Price of Technology,['RVDY'],1
226508,Lifelong,['Chime'],1
230007,Energy,"['Bru-C', 'Example', 'Jamie Duggan']",3
227657,Demand,['Macky Gee'],1
263024,Quantum,['The Prototypes'],1
186206,The Step - Pola & Bryson Remix,"['Punctual', 'Nabiha', 'Pola & Bryson']",3
263406,Forever,"['Rameses B', 'Zoe Moon']",2
223143,Secret,"['Gourski', 'Zera']",2
185571,Hold On,"['Duke & Jones', 'Sam Day']",2
248000,Collide - Bensley Remix,"['Delta Heavy', 'Rae Hall', 'Bensley']",3
295813,Push It To The Limit,"['Qo', 'Trilo']",2
228538,Get Down,"['DRS', 'Dynamite MC', 'DJ Zinc']",3
243346,Engage,['Chase & Status'],1
219110,Drips,"['Philip D Kick', 'Om Unit']",2
